Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,12.25,14.56,10.81,12.95,000,12.95
2005-12-01,12.09,12.44,10.15,12.07,000,12.07
2005-11-01,14.85,15.66,10.50,12.06,000,12.06
2005-10-03,12.37,17.19,11.98,15.32,000,15.32
2005-09-01,12.86,14.39,11.07,11.92,000,11.92
2005-08-01,11.75,14.41,11.36,12.60,000,12.60
2005-07-01,11.75,13.92,9.88,11.57,000,11.57
2005-06-01,13.34,13.34,10.78,12.04,000,12.04
2005-05-02,15.45,17.70,11.65,13.29,000,13.29
2005-04-01,13.64,18.59,11.20,15.31,000,15.31
2005-03-01,11.95,14.89,11.66,14.02,000,14.02
2005-02-01,12.80,13.20,10.90,12.08,000,12.08
2005-01-03,13.39,14.75,12.29,12.82,000,12.82
2004-12-01,13.10,13.74,11.14,13.29,000,13.29
2004-11-01,16.43,16.76,12.56,13.24,000,13.24
2004-10-01,13.11,16.87,12.60,16.27,000,16.27
2004-09-01,15.39,15.98,13.16,13.34,000,13.34
2004-08-02,16.42,19.97,14.67,15.29,000,15.29
2004-07-01,14.74,17.93,13.34,15.32,000,15.32
2004-06-01,16.60,17.04,13.75,14.34,000,14.34
2004-05-03,17.69,20.45,15.19,15.50,000,15.50
2004-04-01,16.76,17.98,13.86,17.19,000,17.19
2004-03-01,14.91,22.67,13.83,16.74,000,16.74
2004-02-02,17.45,18.06,13.80,14.55,000,14.55
2004-01-02,17.96,18.68,14.01,16.63,000,16.63
2003-12-01,16.74,18.86,14.66,18.31,000,18.31
2003-11-03,16.33,19.61,16.02,16.32,000,16.32
2003-10-01,22.81,22.82,15.79,16.10,000,16.10
2003-09-02,19.31,23.26,17.52,22.72,000,22.72
2003-08-01,20.06,23.89,17.64,18.63,000,18.63
2003-07-01,20.49,20.80,17.65,19.49,000,19.49
2003-06-02,20.35,22.81,18.87,19.52,000,19.52
2003-05-01,21.35,22.33,18.24,19.47,000,19.47
2003-04-01,29.58,30.04,20.26,21.21,000,21.21
2003-03-03,29.78,34.40,27.58,29.15,000,29.15
2003-02-03,32.45,35.66,29.06,29.63,000,29.63
2003-01-02,28.74,35.33,24.02,31.17,000,31.17
2002-12-02,28.35,31.20,25.87,28.62,000,28.62
2002-11-01,31.57,32.60,23.05,27.50,000,27.50
2002-10-01,37.25,43.44,29.69,31.14,000,31.14
2002-09-03,37.12,41.86,33.72,39.69,000,39.69
2002-08-01,32.77,45.21,27.61,32.64,000,32.64
2002-07-01,25.71,48.46,25.63,32.03,000,32.03
2002-06-03,20.98,30.98,20.62,25.40,000,25.40
2002-05-01,21.44,22.71,17.70,19.98,000,19.98
2002-04-01,18.99,24.50,17.73,21.91,000,21.91
2002-03-01,21.06,21.12,17.02,17.40,000,17.40
2002-02-01,21.12,27.32,20.55,21.59,000,21.59
2002-01-02,23.78,26.88,20.40,21.09,000,21.09
2001-12-03,25.92,26.38,21.12,23.80,000,23.80
2001-11-01,33.97,34.57,22.96,23.84,000,23.84
2001-10-01,33.42,36.95,28.11,33.56,000,33.56
2001-09-04,26.11,49.35,24.19,31.93,000,31.93
2001-08-01,20.97,25.84,19.69,24.92,000,24.92
2001-07-02,19.75,25.61,18.74,21.62,000,21.62
2001-06-01,23.02,24.42,18.83,19.06,000,19.06
2001-05-01,25.46,26.49,20.46,22.64,000,22.64
2001-04-02,29.40,35.20,23.01,25.48,000,25.48
2001-03-01,29.66,35.45,24.12,28.64,000,28.64
2001-02-01,22.39,30.62,20.22,28.35,000,28.35
2001-01-02,27.93,30.80,21.47,22.02,000,22.02
2000-12-01,28.31,32.32,22.38,26.85,000,26.85
2000-11-01,24.07,31.11,23.51,29.65,000,29.65
2000-10-02,20.98,30.80,20.41,23.63,000,23.63
2000-09-01,16.81,22.66,16.47,20.57,000,20.57
2000-08-01,20.66,20.84,16.28,16.84,000,16.84
2000-07-03,20.51,21.65,18.77,20.74,000,20.74
2000-06-01,23.20,25.01,19.39,19.54,000,19.54
2000-05-01,26.07,32.89,23.23,23.65,000,23.65
2000-04-03,24.99,34.31,23.25,26.20,000,26.20
2000-03-01,22.65,25.87,19.19,24.11,000,24.11
2000-02-01,24.43,28.12,20.69,23.37,000,23.37
2000-01-03,24.36,29.00,19.51,24.95,000,24.95
1999-12-01,23.41,25.20,18.69,24.64,000,24.64
1999-11-01,22.70,24.29,18.64,24.18,000,24.18
1999-10-01,25.58,29.81,20.30,22.20,000,22.20
1999-09-01,23.86,29.21,20.87,25.41,000,25.41
1999-08-02,25.75,30.00,20.12,24.45,000,24.45
1999-07-01,20.57,25.74,17.07,24.64,000,24.64
1999-06-01,27.12,27.99,20.67,21.09,000,21.09
1999-05-03,24.41,29.62,24.05,25.39,000,25.39
1999-04-01,22.87,26.50,20.47,25.07,000,25.07
1999-03-01,29.34,29.90,22.00,23.26,000,23.26
1999-02-01,27.21,31.75,25.22,27.88,000,27.88
1999-01-04,25.38,33.66,21.38,26.25,000,26.25
1998-12-01,27.38,31.67,20.08,24.42,000,24.42
1998-11-02,28.31,30.56,21.24,26.01,000,26.01
1998-10-01,41.90,49.53,27.54,28.05,000,28.05
1998-09-01,41.74,48.06,32.44,40.95,000,40.95
1998-08-03,26.15,45.02,25.35,44.28,000,44.28
1998-07-01,18.99,26.68,16.10,24.80,000,24.80
1998-06-01,22.71,26.49,18.93,19.71,000,19.71
1998-05-01,20.72,25.10,18.60,21.32,000,21.32
1998-04-01,24.85,27.47,19.25,21.18,000,21.18
1998-03-02,18.97,24.92,17.58,24.22,000,24.22
1998-02-02,21.32,21.90,18.39,18.55,000,18.55
1998-01-02,24.34,31.08,20.55,21.47,000,21.47
1997-12-01,27.86,33.08,20.41,24.01,000,24.01
1997-11-03,32.18,38.46,26.42,27.43,000,27.43
1997-10-01,22.95,48.64,19.28,35.09,000,35.09
1997-09-02,25.85,27.33,21.43,22.91,000,22.91
1997-08-01,21.29,26.31,19.33,24.76,000,24.76
1997-07-01,21.54,23.71,17.82,21.48,000,21.48
1997-06-02,21.08,22.28,18.20,21.53,000,21.53
1997-05-01,20.18,22.26,17.28,19.19,000,19.19
1997-04-01,22.85,23.04,17.57,20.06,000,20.06
1997-03-03,21.89,22.44,17.30,22.14,000,22.14
1997-02-03,19.89,21.55,18.71,21.10,000,21.10
1997-01-02,21.54,22.80,16.36,19.47,000,19.47
1996-12-02,18.66,22.13,16.83,20.92,000,20.92
1996-11-01,17.29,18.61,13.45,17.14,000,17.14
1996-10-01,16.90,19.21,14.63,18.11,000,18.11
1996-09-03,19.78,20.53,14.55,16.95,000,16.95
1996-08-01,19.39,19.39,13.22,17.01,000,17.01
1996-07-01,13.83,27.05,13.75,19.46,000,19.46
1996-06-03,16.80,18.88,13.55,13.68,000,13.68
1996-05-01,15.89,18.96,14.56,16.07,000,16.07
1996-04-01,18.42,21.09,13.99,15.83,000,15.83
1996-03-01,17.13,21.36,14.98,18.88,000,18.88
1996-02-01,11.44,17.39,11.11,17.04,000,17.04
1996-01-02,13.39,16.87,11.23,12.53,000,12.53
1995-12-01,11.12,15.42,10.06,12.52,000,12.52
1995-11-01,13.98,14.10,10.57,11.58,000,11.58
1995-10-02,12.40,16.99,12.29,13.83,000,13.83
1995-09-01,11.15,13.95,10.19,12.74,000,12.74
1995-08-01,13.44,14.49,11.36,11.52,000,11.52
1995-07-03,11.36,15.26,10.92,13.49,000,13.49
1995-06-01,12.16,14.05,10.36,11.38,000,11.38
1995-05-01,11.21,13.60,10.08,12.85,000,12.85
1995-04-03,12.52,14.48,10.95,11.75,000,11.75
1995-03-01,11.49,14.77,10.79,13.37,000,13.37
1995-02-01,11.74,13.01,10.51,11.75,000,11.75
1995-01-03,14.09,14.71,10.76,11.96,000,11.96
1994-12-01,15.49,18.16,11.36,13.20,000,13.20
1994-11-01,14.61,19.57,14.32,15.95,000,15.95
1994-10-03,15.69,17.22,12.75,14.56,000,14.56
1994-09-01,12.17,16.08,11.17,14.28,000,14.28
1994-08-01,11.71,13.34,10.75,11.97,000,11.97
1994-07-01,14.89,15.63,10.96,11.13,000,11.13
1994-06-01,13.16,17.71,10.48,14.97,000,14.97
1994-05-02,14.42,16.65,11.44,13.03,000,13.03
1994-04-04,23.61,28.30,13.05,13.77,000,13.77
1994-03-01,12.58,21.94,11.58,20.45,000,20.45
1994-02-01,10.81,16.31,10.21,14.87,000,14.87
1994-01-03,11.28,13.42,9.59,10.63,000,10.63
1993-12-01,12.93,14.76,8.89,11.66,000,11.66
1993-11-01,12.02,16.46,11.49,13.76,000,13.76
1993-10-01,12.56,14.79,10.00,11.46,000,11.46
1993-09-01,11.30,18.31,10.75,12.99,000,12.99
1993-08-02,11.81,13.25,10.80,11.85,000,11.85
1993-07-01,10.49,14.37,9.11,11.73,000,11.73
1993-06-01,13.64,15.88,10.86,11.26,000,11.26
1993-05-03,13.25,15.11,11.96,13.47,000,13.47
1993-04-01,13.04,15.45,10.71,12.42,000,12.42
1993-03-01,13.13,16.37,10.66,12.53,000,12.53
1993-02-01,12.51,16.65,11.69,13.16,000,13.16
1993-01-04,12.96,15.06,10.98,12.42,000,12.42
1992-12-01,12.94,13.89,10.29,12.57,000,12.57
1992-11-02,17.02,17.92,11.38,13.01,000,13.01
1992-10-01,15.44,25.13,15.03,16.15,000,16.15
1992-09-01,11.87,15.42,10.69,14.28,000,14.28
1992-08-03,14.05,16.52,12.34,13.58,000,13.58
1992-07-01,13.43,16.36,11.36,13.17,000,13.17
1992-06-01,14.47,18.53,12.73,13.35,000,13.35
1992-05-01,14.87,17.76,12.77,13.86,000,13.86
1992-04-01,16.93,21.44,14.83,15.53,000,15.53
1992-03-02,17.44,21.06,15.46,16.18,000,16.18
1992-02-03,17.08,19.31,15.34,16.68,000,16.68
1992-01-02,19.69,20.30,14.12,17.40,000,17.40
1991-12-02,20.18,20.57,15.44,19.31,000,19.31
1991-11-01,15.60,21.92,13.95,20.26,000,20.26
1991-10-01,14.81,18.58,14.81,15.48,000,15.48
1991-09-03,16.57,18.22,15.35,15.85,000,15.85
1991-08-01,15.47,21.19,14.41,14.46,000,14.46
1991-07-01,18.64,20.29,15.18,15.18,000,15.18
1991-06-03,16.87,19.55,15.50,19.55,000,19.55
1991-05-01,17.77,18.38,15.23,15.93,000,15.93
1991-04-01,17.42,20.12,15.47,18.24,000,18.24
1991-03-01,21.23,21.23,14.90,16.88,000,16.88
1991-02-01,21.04,23.60,19.57,21.23,000,21.23
1991-01-02,26.62,36.20,20.91,20.91,000,20.91
1990-12-03,22.29,26.38,20.94,26.38,000,26.38
1990-11-01,30.25,30.87,20.09,22.16,000,22.16
1990-10-01,28.06,33.98,27.27,30.04,000,30.04
1990-09-04,29.58,30.56,27.88,29.11,000,29.11
1990-08-01,21.64,36.47,20.43,29.90,000,29.90
1990-07-02,16.26,23.68,15.63,21.11,000,21.11
1990-06-01,17.09,19.36,14.72,15.50,000,15.50
1990-05-01,18.43,20.14,16.72,17.37,000,17.37
1990-04-02,22.84,24.16,17.73,19.52,000,19.52
1990-03-01,21.90,22.74,17.62,19.73,000,19.73
1990-02-01,24.87,24.87,19.71,21.99,000,21.99
1990-01-02,17.24,27.25,17.24,25.36,000,25.36
